PREFIX;COUNTRY
A2;Botswana
A3;Tonga Isl.
A4;Oman and Muscat
A5;Bhutan
A6;United Arab.Emirates
A7;Qatar
A9;Bahrain
AP;Pakistan
AS;Pakistan
BS7;Scarborough Reef
BV;Taiwan
BV9P;Pratas
BX;China
BZ;China
BY;China
C2;Rep.of Nauru
C3;Andorra
C5;Gambia
C6;Bahamas
C9;Mozambique
CE;Chile
CE9;Antarctica
KC4;Antarctica
CE0Y;"Easter Isl. 
(Paaseiland)"
CE0;San Felix Isl. and Juan Fernandez Isl.
CM;Cuba
CO;Cuba
CN;Morocco
CP;Bolivia
CT;Portugal
CT3;Madeira Isl.
CU;Azores Isl.
CV;Uruguay
CX;Uruguay
CY0;Sable Isl.
CY9;St.Paul Isl.
D2;Angola
D3;Angola
D4;Rep.of Cape Verde
D6;Comoros
DA;Germany
DM;Germany
Y;Germany
DL;Germany
DU;Philippines
DZ;Philippines
E3;Erythrea
E4;Palestina
EA;Spain
EH;Spain
EA6;Balearic Isl.
EH6;Balearic Isl.
EA8;Canary Isl.
EH8;Canary Isl.
EA9;Ceuta and Melilla
EH9;Ceuta and Melilla
EI;Ireland
EJ;Ireland
EK;Armenia
EL;Liberia
EP;Iran
EQ;Iran
E7;Bosnia and Herzegovina
ER;Moldova
ES;Estonia
ET;Ethiopia
EU;Belarus
EV;Belarus
EW;Belarus
EX;Kyrgystan
EY;Tajikistan
EZ;Turkmenistan
F;France
FA;France
FF;France
TM;France
FG;Guadeloupe
FH;Mayotte
FJ;French St. Martin
FS;French St. Martin
FK;New Caledonia
FM;Martinique
FO;French Polynesia
FO0;Clipperton Isl.
FO0;Marquesas
FO0;Austral Isl.
FP;St. Pierre and Miquelon
FR;Reunion
FR/J;Juan de Nova
FR/G;Glorioso
FR/T;Tromelin
FT8W;Crozet Isl.
FT8X;Kerguelen Isl.
FT8Z;Amsterdam and St. Paul Isl.
FW;Wallis and Futuna Isl.
FY;French Guiana
G;England
GX;England
M;England
GD;Isle of Man
GT;Isle of Man
MD;Isle of Man
GI;Northern Ireland
GN;Northern Ireland
