Call;QTH;Year;Category;Score;QSOs;WPX;160M;80M;40M;20M;15M;10M;Hours;Club
EG8FAS;EA8;2005;MULTI-TWO;27959740;6642;1115;0;427;1326;1914;2127;848;48.0;LATVIAN CONTEST CLUB
V25O;V2;2005;MULTI-MULTI;25123968;6749;1158;1;181;1250;2529;2092;696;48.0;LITHUANIAN CONTEST GROUP
LZ9W;LZ;2005;MULTI-MULTI;19736872;7759;1181;364;819;1456;2318;1690;1112;48.0;LZ CONTEST TEAM
DF0CG;DL;2005;MULTI-MULTI;19218330;6996;1185;367;950;1442;2067;1466;704;48.0;BAVARIAN CONTEST CLUB
D4B;D4;2005;SINGLE-OP HIGH ALL;16137128;4678;1016;0;3;634;1561;1770;710;36.0;ATCC
5B/AJ2O;5B;2005;MULTI-SINGLE HIGH;15255954;4491;1029;23;181;596;1533;1281;877;48.0;RUSSIAN CONTEST CLUB
ZF1A;ZF;2005;MULTI-SINGLE HIGH;14937125;4100;1075;0;51;1278;1559;1203;9;48.0;CAYMAN AMATEUR RADIO SOCIETY
RU1A;UA1;2005;MULTI-TWO;14648208;5999;1128;165;554;1119;2135;1191;835;48.0;NO CLUB
LT1F;LU;2005;MULTI-TWO;14473290;4130;1003;0;5;739;1103;1673;610;48.0;BAD POWER
9Y4W;9Y;2005;MULTI-SINGLE HIGH;13733418;3878;942;0;35;1006;1511;1006;320;48.0;NO CLUB
ZL6QH;ZL;2005;MULTI-TWO;13312768;3493;952;0;67;1218;1441;688;79;48.0;WELLINGTON AMATEUR RADIO CLUB
5B/KI0BP;5B;2005;MULTI-SINGLE HIGH;13174324;4278;974;0;55;525;1411;1446;841;48.0;NO CLUB
LY7A;LY;2005;MULTI-MULTI;12484615;5706;1045;325;641;1266;1896;1006;572;48.0;KAUNAS UNIVERSITY OF TECHNOLOGY RADIO CLUB
P40W;P4;2005;SINGLE-OP HIGH ALL;11193728;3290;868;0;36;1017;938;1020;279;36.0;FRANKFORD RADIO CLUB
UU7J;UR;2005;MULTI-MULTI;11053744;5405;988;232;398;1037;1805;1142;791;48.0;CRIMEAN CONTEST CLUB
8P7A;8P;2005;SINGLE-OP HIGH ALL;10855692;3651;906;0;25;874;1030;1284;438;36.0;NORTHERN CALIFORNIA CONTEST CLUB
HG6N;HA;2005;MULTI-TWO;10671784;4587;1048;77;309;817;1672;1184;528;48.0;NO CLUB
DK4YJ;DL;2005;MULTI-TWO;10381371;4306;1001;42;444;1002;1420;1084;314;48.0;BAVARIAN CONTEST CLUB
