Call;QTH;Year;Category;Score;QSOs;WPX;160M;80M;40M;20M;15M;10M;Hours;Club
YW4M;YV;2005;MULTI-MULTI;32163974;7153;1291;0;0;0;0;0;0;48.0;NO CLUB
PJ2T;PJ2;2005;MULTI-TWO;31091725;7124;1225;0;0;0;0;0;0;48.0;BAVARIAN CONTEST CLUB
TS3A;3V;2005;MULTI-TWO;30460277;6650;1139;0;0;0;0;0;0;48.0;YU CONTEST CLUB
5B/AJ2O;5B;2005;MULTI-SINGLE HIGH;28966272;6558;1252;0;0;0;0;0;0;48.0;NO CLUB
ZW5B;PY;2005;MULTI-TWO;27390828;6639;1308;0;0;0;0;0;0;36.5;ARAUCARIA DX GROUP
D4B;D4;2005;SINGLE-OP HIGH ALL;26871482;6245;1271;0;0;0;0;0;0;36.0;ATCC
OT5A;ON;2005;MULTI-MULTI;22915900;6646;1330;0;0;0;0;0;0;47.0;NO CLUB
LZ9W;LZ;2005;MULTI-MULTI;21875384;6734;1349;0;0;0;0;0;0;48.0;LZ CONTEST TEAM
CQ9K;CT3;2005;MULTI-SINGLE HIGH;21831270;4861;1230;0;0;0;0;0;0;48.0;RHEIN RUHR DX ASSOCIATION
UP5G;UN;2005;MULTI-MULTI;21245070;5955;1155;0;0;0;0;0;0;48.0;NO CLUB
KH7X;KH6;2005;MULTI-TWO;20910656;5387;1066;0;0;0;0;0;0;48.0;NO CLUB
9Y4W;9Y;2005;SINGLE-OP HIGH ALL;18548160;4825;1112;0;0;0;0;0;0;36.0;NO CLUB
8P9AM;8P;2005;SINGLE-OP HIGH ALL;18516316;5392;1183;0;0;0;0;0;0;36.0;G6PZ CONTEST GROUP
FY5KE;FY;2005;SINGLE-OP HIGH ALL;17344264;4837;1064;0;0;0;0;0;0;35.9;NO CLUB
ZD8Z;ZD8;2005;SINGLE-OP HIGH 15M;17129112;4804;1196;0;0;0;0;4804;0;34.7;SOUTHERN CALIFORNIA CONTEST CLUB
LR2F;LU;2005;MULTI-SINGLE HIGH;15358666;4216;1094;0;0;0;0;0;0;48.0;RADIO CLUB ROSARIO LU4FM
NQ4I;W4;2005;MULTI-MULTI;15111810;6236;1190;0;0;0;0;0;0;48.0;SOUTH EAST CONTEST CLUB
CN2R;CN;2005;SINGLE-OP HIGH 40M;14724696;2652;931;0;0;2652;0;0;0;35.2;NO CLUB
P40A;P4;2005;SINGLE-OP LOW ALL;13738890;4217;1023;0;0;0;0;0;0;36.0;SOCIETY OF MIDWEST CONTESTERS
8Q7DV;8Q;2005;MULTI-SINGLE HIGH;13375950;4345;1050;0;0;0;0;0;0;43.0;URAL CONTEST GROUP
OM8A;OM;2005;MULTI-SINGLE HIGH;13351275;3947;1211;0;0;0;0;0;0;48.0;NO CLUB
HI3CCP;HI;2005;MULTI-SINGLE HIGH;13318272;4258;1051;0;0;0;0;0;0;48.0;NO CLUB
ES70Q;ES;2005;MULTI-TWO;13070739;4683;1173;0;0;0;0;0;0;48.0;NO CLUB
PJ4Y;PJ2;2005;MULTI-SINGLE HIGH;12224763;3681;999;0;0;0;0;0;0;46.9;NO CLUB
OM7M;OM;2005;MULTI-SINGLE HIGH;12209162;3774;1193;0;0;0;0;0;0;48.0;LOW BANDS CONTEST CLUB
LY7A;LY;2005;MULTI-MULTI;12116478;4726;1122;0;0;0;0;0;0;48.0;KAUNAS UNIVERSITY OF TECHNOLOGY RADIO CLUB
VC3A;VE3;2005;SINGLE-OP HIGH ALL;11545368;3681;1039;0;0;0;0;0;0;36.0;CONTEST CLUB ONTARIO
LX5A;LX;2005;MULTI-MULTI;11350185;4526;1085;0;0;0;0;0;0;48.0;BAVARIAN CONTEST CLUB
ZY7C;PY;2005;MULTI-SINGLE HIGH;11288664;3340;996;0;0;0;0;0;0;48.0;ARAUCARIA DX GROUP
ZL1V;ZL;2005;MULTI-MULTI;10881579;3375;933;0;0;0;0;0;0;38.3;MOTUEKA CONTEST CLUB
LT0H;LU;2005;MULTI-SINGLE HIGH;10741474;3324;998;0;0;0;0;0;0;48.0;NO CLUB
OE4A;OE;2005;ASSISTED HIGH ALL;10628416;3641;1136;0;0;0;0;0;0;36.0;AUSTRIAN CONTEST CLUB
YT6A;YT;2005;MULTI-SINGLE HIGH;10424128;3561;1144;0;0;0;0;0;0;31.8;SKY CONTEST CLUB
8R1K;8R;2005;SINGLE-OP HIGH ALL;10330480;3134;929;0;0;0;0;0;0;34.0;CONTEST CLUB FINLAND
DL6FBL;DL;2005;SINGLE-OP HIGH ALL;9750351;3418;1073;0;0;0;0;0;0;35.9;BAVARIAN CONTEST CLUB
WP2Z;KP2;2005;SINGLE-OP HIGH ALL;9609516;4020;1026;0;0;0;0;0;0;35.4;NO CLUB
